"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Sun Jun 02 17:38:18 GMT 2024","Sun Jun 02 17:38:18 GMT 2024","0","API Regression Suite","API Regression Test","com.example.teamcity.api.RolesTest","com.example.teamcity.api.RolesTest","projectViewerShouldSeeBuildConfig","projectViewerShouldSeeBuildConfig",""
"broken","Sun Jun 02 17:38:18 GMT 2024","Sun Jun 02 17:38:18 GMT 2024","0","UI Suite","UI Test","com.example.teamcity.ui.CreateNewBuildConfigTest","com.example.teamcity.ui.CreateNewBuildConfigTest","afterTest","afterTest",""
"broken","Sun Jun 02 17:38:18 GMT 2024","Sun Jun 02 17:38:18 GMT 2024","2","API Regression Suite","API Regression Test","com.example.teamcity.api.RolesTest","com.example.teamcity.api.RolesTest","projectDeveloperShouldSeeBuildConfig","projectDeveloperShouldSeeBuildConfig",""
"broken","Sun Jun 02 17:38:18 GMT 2024","Sun Jun 02 17:38:18 GMT 2024","0","API Regression Suite","API Regression Test","com.example.teamcity.api.RolesTest","com.example.teamcity.api.RolesTest","projectAdminShouldNotHaveRightsToCreateBuildConfigToAnotherProject","projectAdminShouldNotHaveRightsToCreateBuildConfigToAnotherProject",""
"broken","Sun Jun 02 17:38:18 GMT 2024","Sun Jun 02 17:38:18 GMT 2024","0","API Regression Suite","API Regression Test","com.example.teamcity.api.NamingProjectTest","com.example.teamcity.api.NamingProjectTest","canNotBeCreatedProjectWithNameLonger255Characters","canNotBeCreatedProjectWithNameLonger255Characters",""
"broken","Sun Jun 02 17:33:47 GMT 2024","Sun Jun 02 17:33:47 GMT 2024","0","UI Suite","UI Test","com.example.teamcity.ui.CreateNewProjectTest","com.example.teamcity.ui.CreateNewProjectTest","afterTest","afterTest",""
"broken","Sun Jun 02 17:38:18 GMT 2024","Sun Jun 02 17:38:18 GMT 2024","1","API Regression Suite","API Regression Test","com.example.teamcity.api.RolesTest","com.example.teamcity.api.RolesTest","systemAdminShouldHaveRightsToCreateProject","systemAdminShouldHaveRightsToCreateProject",""
"broken","Sun Jun 02 17:20:16 GMT 2024","Sun Jun 02 17:20:16 GMT 2024","1","API Suite","API Test","com.example.teamcity.api.BuildConfigurationTest","com.example.teamcity.api.BuildConfigurationTest","afterTest","afterTest",""
"broken","Sun Jun 02 17:38:18 GMT 2024","Sun Jun 02 17:38:18 GMT 2024","0","API Regression Suite","API Regression Test","com.example.teamcity.api.RolesTest","com.example.teamcity.api.RolesTest","unauthorizedUserShouldNotHaveRightToCreateProject","unauthorizedUserShouldNotHaveRightToCreateProject",""
"broken","Sun Jun 02 17:24:47 GMT 2024","Sun Jun 02 17:24:47 GMT 2024","1","API Suite","API Test","com.example.teamcity.api.NamingProjectTest","com.example.teamcity.api.NamingProjectTest","afterTest","afterTest",""
"broken","Sun Jun 02 17:38:18 GMT 2024","Sun Jun 02 17:38:18 GMT 2024","0","API Regression Suite","API Regression Test","com.example.teamcity.api.BuildConfigurationTest","com.example.teamcity.api.BuildConfigurationTest","buildconfigurationTest","buildconfigurationTest",""
"broken","Sun Jun 02 17:38:18 GMT 2024","Sun Jun 02 17:38:18 GMT 2024","0","API Regression Suite","API Regression Test","com.example.teamcity.api.RolesTest","com.example.teamcity.api.RolesTest","projectDeveloperShouldNotHaveRightsToCreateProject","projectDeveloperShouldNotHaveRightsToCreateProject",""
"broken","Sun Jun 02 17:38:18 GMT 2024","Sun Jun 02 17:38:18 GMT 2024","0","API Regression Suite","API Regression Test","com.example.teamcity.api.RolesTest","com.example.teamcity.api.RolesTest","agentManagerShouldNotHaveRightsToCreateProject","agentManagerShouldNotHaveRightsToCreateProject",""
"broken","Sun Jun 02 16:52:13 GMT 2024","Sun Jun 02 16:52:14 GMT 2024","1048","Surefire suite","Surefire test","com.example.teamcity.ui.SetupFirstStartTest","com.example.teamcity.ui.SetupFirstStartTest","setupTeamCityServerTest","setupTeamCityServerTest",""
"broken","Sun Jun 02 17:38:18 GMT 2024","Sun Jun 02 17:38:18 GMT 2024","1","API Regression Suite","API Regression Test","com.example.teamcity.api.RolesTest","com.example.teamcity.api.RolesTest","agentManagerShouldSeeBuildConfig","agentManagerShouldSeeBuildConfig",""
"broken","Sun Jun 02 17:38:18 GMT 2024","Sun Jun 02 17:38:18 GMT 2024","0","UI Suite (0)","UI Test","com.example.teamcity.ui.CreateNewBuildConfigTest","com.example.teamcity.ui.CreateNewBuildConfigTest","authorizedUserShouldBeAbleCreateNewBuildConfig","authorizedUserShouldBeAbleCreateNewBuildConfig",""
"broken","Sun Jun 02 17:38:18 GMT 2024","Sun Jun 02 17:38:18 GMT 2024","0","API Regression Suite","API Regression Test","com.example.teamcity.api.NamingProjectTest","com.example.teamcity.api.NamingProjectTest","canNotBeCreatedProjectWithTheSameProjectId","canNotBeCreatedProjectWithTheSameProjectId",""
